# subscribed links TSV file

type	HousingKeywords	name	category	cities	isrent	issell	rentline	sellline
type	HousingCity	name	hotrent1	hotrent2	hotrent3	hotsell1	hotsell2	hotsell3	rentnum	tenantnum	sellnum
type	HousingDistrict	city	name	hotrent1	hotrent2	hotrent3	hotsell1	hotsell2	hotsell3	rentnum	tenantnum	sellnum
type	HousingNeighborhood	city	district	name	relatedrent1	relatedrent2	relatedrent3	relatedsell1	relatedsell2	relatedsell3	rentnum	tenantnum	sellnum

type	HousingHotCities	city1	city2	city3	city4	city5	city6	city7	city8	city9	city10	city11	city12	city13	city14

data	HousingHotCities	HHC001	北京	上海	广州	深圳	南京	重庆	天津	沈阳	成都	哈尔滨	苏州	杭州	武汉	青岛

data	HousingKeywords	HK000	房屋信息	出租	HHC001	HK000	HK000	HK000	HK000	房屋	房屋信息	房子	房子信息	看房	住房	找房子
data	HousingKeywords	HK001	租房	出租	HHC001	HK001		HK001		租房	求租	出租	出租房	租赁	租房信息	租屋	短租房	短期租房	房屋出租	出租房屋	房屋租赁	租房网	租房信息网	房屋求租	求租房屋	日租房	出租房源
data	HousingKeywords	HK002	找合租	合租	HHC001			HK002		合租	合租房	找合租	合租房源
data	HousingKeywords	HK003	二手房	出售	HHC001				HK003	二手房	卖房	卖屋	售房	售屋	二手房信息	2手房	2手房信息	找二手房	二手房网	二手房信息网	出售房源	二手房源	二手房房源
data	HousingNeighborhood	HN05810	济南	天桥区	堤口路	HN05827	HN05828		HN05827	HN05828		1111	132	3122	济南堤口路	济南天桥堤口路	济南天桥区堤口路	济南市堤口路	济南市天桥堤口路	济南市天桥区堤口路	堤口路	天桥堤口路	天桥区堤口路
data	HousingNeighborhood	HN05504	杭州	西湖区	康新花园	HN05557	HN05551	HN05497	HN05557	HN05551	HN05497	88	3	159	杭州康新花园	杭州西湖康新花园	杭州西湖区康新花园	杭州市康新花园	杭州市西湖康新花园	杭州市西湖区康新花园	康新花园	西湖康新花园	西湖区康新花园
data	HousingNeighborhood	HN04052	合肥		石台路	HN04065	HN04038		HN04065	HN04038		95	18	2010	合肥石台路	合肥市石台路	石台路
data	HousingNeighborhood	HN06025	深圳	南山区	工业八路	HN06181	HN06050	HN06016	HN06050	HN06181	HN06016	828	34	842	深圳工业八路	深圳南山区工业八路	深圳南山工业八路	深圳市工业八路	深圳市南山区工业八路	深圳市南山工业八路	工业八路	南山区工业八路	南山工业八路
data	HousingNeighborhood	HN00341	上海	徐汇区	龙华	HN00294	HN01156	HN00280	HN00294	HN01156	HN00280	992	264	4659	上海龙华	上海徐汇区龙华	上海徐汇龙华	上海市龙华	上海市徐汇区龙华	上海市徐汇龙华	龙华	徐汇区龙华	徐汇龙华
data	HousingNeighborhood	HN05614	武汉		武汉中学	HN05690	HN05698	HN05641	HN05690	HN05698	HN05641	148	3	274	武汉武汉中学	武汉市武汉中学	武汉中学
data	HousingNeighborhood	HN00704	上海	浦东新区	香梅花园	HN00877	HN00720	HN00818	HN00877	HN00720	HN00104	584	4	1753	上海香梅花园	上海浦东新区香梅花园	上海浦东香梅花园	上海市香梅花园	上海市浦东新区香梅花园	上海市浦东香梅花园	香梅花园	浦东新区香梅花园	浦东香梅花园
data	HousingNeighborhood	HN02695	北京	朝阳区	荟康苑	HN02936	HN02904	HN02903	HN02936	HN02903	HN02904	29	23	56	北京荟康苑	北京朝阳荟康苑	北京朝阳区荟康苑	北京市荟康苑	北京市朝阳荟康苑	北京市朝阳区荟康苑	荟康苑	朝阳荟康苑	朝阳区荟康苑
data	HousingNeighborhood	HN02875	北京	朝阳区	平乐园	HN02842	HN02830	HN02809	HN02842	HN02809	HN02830	524	104	283	北京平乐园	北京朝阳平乐园	北京朝阳区平乐园	北京市平乐园	北京市朝阳平乐园	北京市朝阳区平乐园	平乐园	朝阳平乐园	朝阳区平乐园
data	HousingNeighborhood	HN04618	宁波	江东区	百丈路							318	12	131	宁波百丈路	宁波江东百丈路	宁波江东区百丈路	宁波市百丈路	宁波市江东百丈路	宁波市江东区百丈路	百丈路	江东百丈路	江东区百丈路
data	HousingNeighborhood	HN00351	上海	普陀区	世纪之门	HN01321	HN01328	HN00402	HN01321	HN01328	HN01256	527	30	657	上海世纪之门	上海普陀世纪之门	上海普陀区世纪之门	上海市世纪之门	上海市普陀世纪之门	上海市普陀区世纪之门	世纪之门	普陀世纪之门	普陀区世纪之门
data	HousingNeighborhood	HN02580	北京	朝阳区	松榆西里小区	HN02842	HN02830	HN02809	HN02842	HN02809	HN02830	52	61	20	北京松榆西里小区	北京朝阳松榆西里小区	北京朝阳区松榆西里小区	北京市松榆西里小区	北京市朝阳松榆西里小区	北京市朝阳区松榆西里小区	松榆西里小区	朝阳松榆西里小区	朝阳区松榆西里小区
data	HousingNeighborhood	HN05763	济南	历下区	泺源大街	HN05762			HN05762			455	34	1202	济南泺源大街	济南历下区泺源大街	济南历下泺源大街	济南市泺源大街	济南市历下区泺源大街	济南市历下泺源大街	泺源大街	历下区泺源大街	历下泺源大街
data	HousingNeighborhood	HN03769	北京	顺义区	东平里	HN02841	HN03779	HN03773	HN02841	HN03779	HN03773	40	5	57	北京东平里	北京顺义东平里	北京顺义区东平里	北京市东平里	北京市顺义东平里	北京市顺义区东平里	东平里	顺义东平里	顺义区东平里
